SIRGAS - Northing,SIRGAS - Easting,SIRGAS - Altura
8595270.86,545086.165,13.633
8595269.601,545086.22,13.651
8595267.476,545086.319,13.681
8595258.521,545086.856,12.78
8595249.937,545087.503,11.96
8595238.956,545089.438,11.611
8595233.018,545090.839,11.597
8595230.506,545091.425,11.634
8595218.838,545094.042,11.783
8595217.17,545093.569,11.406
8595213.463,545091.474,10.12
8595212.697,545091.046,9.857
8595211.883,545090.548,9.585
8595210.841,545088.924,9.417
8595210.722,545088.598,9.423
8595207.595,545079.936,9.603
8595203.56,545068.644,9.779
8595203.069,545067.229,9.79
8595198.615,545056.042,10.533
8595193.96,545045.109,10.002
8595190.848,545035.482,10.055
8595189.763,545032.183,10.1
8595189.618,545031.745,10.106
8595187.126,545024.251,10.233
8595185.849,545018.937,10.16
8595185.573,545017.774,10.11
8595184.591,545014.422,9.845
8595178.698,545003.639,8.906
8595168.68,544996.416,8.221
8595160.653,544992.861,7.848
8595149.772,544988.545,7.514
8595139.008,544983.105,7.321
8595134.116,544980.072,7.195
8595123.845,544973.671,6.949
8595113.603,544967.151,6.721
8595103.467,544960.628,6.452
8595093.321,544954.105,6.353
8595083.155,544947.641,6.397
8595073.121,544941.202,6.348
8595062.87,544934.679,6.274
8595052.537,544928.174,6.168
8595042.454,544921.86,6.035
8595032.148,544915.432,5.963
8595022.216,544909.208,5.864
8595011.439,544902.352,5.693
8595000.907,544895.73,5.588
8594990.19,544888.861,5.729
8594980.455,544882.471,6.121
8594969.988,544875.639,6.433
8594959.746,544868.883,6.537
8594949.702,544862.321,6.525
8594942.301,544857.4,6.451
8594933.124,544851.199,6.355
8594923.118,544844.52,6.419
8594912.723,544837.868,6.443
8594902.712,544831.53,6.436
8594892.396,544824.949,6.397
8594882.17,544818.318,6.593
8594876.615,544814.789,6.645
8594866.161,544808.355,6.714
8594855.553,544801.689,7.15
8594845.299,544795.106,7.815
8594835.015,544788.35,8.167
8594825.081,544781.874,8.405
8594814.995,544775.401,8.712
8594804.726,544768.693,8.886
8594794.503,544761.937,8.59
8594784.551,544755.326,8.107
8594774.577,544748.724,7.672
8594764.345,544742.114,7.448
8594753.797,544735.309,7.227
8594743.445,544728.644,7.016
8594733.061,544721.987,6.839
8594722.86,544715.409,6.746
8594712.426,544708.724,6.745
8594702.346,544702.196,6.754
8594692.24,544695.598,6.656
8594682.272,544689.071,6.475
8594671.736,544682.112,6.322
8594661.492,544675.388,6.253
8594651.424,544668.794,6.307
8594641.268,544662.136,6.445
8594631.01,544655.273,6.29
8594621.18,544648.885,6.409
8594611.031,544642.614,6.826
8594601.503,544636.788,7.14
8594599.386,544635.739,8.393
8594596.982,544634.418,9.353
8594595.919,544633.779,9.369
8594593.858,544632.32,8.03
8594591.69,544630.913,7.326
8594589.201,544629.439,7.418
8594577.522,544622.332,7.496
8594567.619,544615.935,7.292
8594556.148,544608.583,6.967
8594544.518,544601.478,6.192
8594532.972,544594.467,4.884
8594521.207,544587.403,3.624
8594510.492,544580.739,3.107
8594498.916,544573.239,3.114
8594487.395,544565.584,3.871
8594475.999,544557.82,4.912
8594465.326,544550.302,6.157
8594454.029,544542.435,6.322
8594442.603,544534.654,5.964
8594431.329,544526.957,5.908
8594419.959,544519.442,5.767
8594408.634,544512.22,5.75
8594396.975,544505.023,5.613
8594392.069,544502.01,5.463
8594390.029,544500.743,6.543
8594387.492,544499.185,7.276
8594386.538,544498.626,7.226
8594384.324,544497.359,5.759
8594382.058,544496.108,4.933
8594376.297,544492.821,5.029
8594365.629,544486.594,5.422
8594355.44,544480.038,6.202
8594345.678,544473.564,6.983
8594335.751,544466.931,7.597
8594325.429,544460.082,7.942
8594315.458,544453.587,7.89
8594305.451,544447.157,7.787
8594295.189,544440.657,7.669
8594284.988,544434.245,7.508
8594274.611,544427.71,7.563
8594264.394,544421.217,7.536
8594254.25,544414.733,7.472
8594244.092,544408.224,7.463
8594233.857,544401.667,7.407
8594223.654,544395.197,7.376
8594213.663,544388.953,7.315
8594203.314,544382.481,7.201
8594192.937,544375.939,7.205
8594182.684,544369.464,7.258
8594172.52,544363.074,7.371
8594162.677,544356.913,7.273
8594152.383,544350.518,7.031
8594141.908,544343.994,7.024
8594131.265,544337.348,7.062
8594121.731,544331.175,7.119
8594111.701,544324.663,7.193
8594101.562,544318.22,7.146
8594091.239,544311.683,7.147
8594081.15,544305.273,7.237
8594070.859,544298.759,7.204
8594060.591,544292.295,7.134
8594050.689,544286.073,7.157
8594040.409,544279.63,7.194
8594030.164,544273.143,6.943
8594020.014,544266.637,6.789
8594009.698,544260.054,6.74
8593999.985,544253.877,6.631
8593989.753,544247.452,6.538
8593979.434,544241.011,6.592
8593969.094,544234.479,6.687
8593959.049,544227.974,6.672
8593948.954,544221.399,6.52
8593939.049,544214.967,6.451
8593928.84,544208.421,6.398
8593918.732,544201.977,6.353
8593909.01,544195.732,6.221
8593898.81,544189.068,6.119
8593889.675,544183.102,5.827
8593880.595,544177.103,5.505
8593870.321,544170.445,5.466
8593859.341,544164.833,5.727
8593847.871,544160.263,6.077
8593836.378,544155.879,6.438
8593824.995,544151.722,6.652
8593813.537,544147.617,6.765
8593804.843,544144.623,6.766
8593797.997,544142.359,6.784
8593786.417,544138.542,6.746
8593774.797,544134.564,6.777
8593763.331,544130.374,6.923
8593751.839,544126.036,7.026
8593740.415,544121.743,7.155
8593734.942,544119.704,7.157
8593723.431,544115.41,7.353
8593712.329,544111.228,7.747
8593701.217,544107.061,7.993
8593694.609,544104.608,8.055
8593683.157,544100.303,8.356
8593671.656,544095.924,8.644
8593660.171,544091.551,8.99
8593648.884,544087.264,9.455
8593637.473,544083.027,9.882
8593625.935,544078.804,10.454
8593614.361,544074.61,10.996
8593608.088,544072.334,11.227
8593596.627,544068.287,11.449
8593585.48,544063.961,11.723
8593575.071,544059.685,11.871
8593563.832,544055.176,11.929
8593556.764,544052.386,11.926
8593545.347,544047.871,11.901
8593534.053,544043.473,11.71
8593522.958,544038.578,11.585
8593512.179,544033.112,11.314
8593501.488,544027.663,10.899
8593490.828,544022.142,10.247
8593480.003,544016.533,9.627
8593469.394,544011.067,9.035
8593463.345,544007.928,8.944
8593453.08,544001.324,8.495
8593444.097,543994.717,7.957
8593435.272,543988.102,7.642
8593425.42,543980.589,7.193
8593415.575,543973.095,6.823
8593405.832,543965.596,6.5
8593396.376,543958.278,6.148
8593386.944,543950.974,5.623
8593377.299,543943.472,5.106
8593367.654,543935.974,4.754
8593357.968,543928.465,4.884
8593348.393,543921.102,5.318
8593338.597,543913.553,5.41
8593329.083,543906.196,5.243
8593327.993,543905.349,5.213
8593318.282,543897.912,4.928
8593308.523,543890.348,4.752
8593297.839,543884.059,4.834
8593286.749,543879.001,5.002
8593275.534,543873.803,5.142
8593264.448,543868.681,5.075
8593253.27,543863.763,4.842
8593242.342,543858.941,4.493
8593231.275,543854.124,4.38
8593227.667,543852.549,4.342
8593216.173,543848.908,4.37
8593204.089,543846.516,4.686
8593192.033,543844.097,4.91
8593180.045,543841.825,4.92
8593168.176,543839.86,4.769
8593156.203,543838.146,4.566
8593143.78,543836.549,4.511
8593131.754,543835.181,4.169
8593120.168,543833.959,4.294
8593108.144,543832.55,4.856
8593096.132,543831.14,4.88
8593084.083,543829.668,4.988
8593079.352,543829.078,4.99
8593066.918,543827.557,4.983
8593054.865,543825.977,5.256
8593042.923,543824.447,5.59
8593030.883,543822.909,5.487
8593029.716,543822.769,5.487
8593017.899,543821.261,5.353
8593005.713,543819.686,5.282
8592993.41,543818.046,5.289
8592981.423,543816.512,5.394
8592969.142,543814.978,5.567
8592958.492,543813.529,5.741
8592949.601,543812.254,5.845
8592937.079,543810.456,5.685
8592925.43,543807.74,5.494
8592913.942,543804.103,5.433
8592910.192,543802.89,5.271
8592904.365,543801.1,4.92
8592899.697,543799.78,4.435
8592888.096,543796.405,4.469
8592884.629,543795.308,4.879
8592882.435,543794.618,5.14
8592876.713,543792.809,5.369
8592868.026,543790.006,5.385
8592856.43,543786.105,5.581
8592845.126,543781.711,5.49
8592834.883,543777.274,5.3
8592828.066,543774.251,5.196
8592816.712,543769.171,5.096
8592806.045,543764.36,5.034
8592799.464,543761.355,5.046
8592788.48,543756.295,5.312
8592781.721,543753.148,5.495
8592770.624,543748.033,5.607
8592759.363,543742.723,5.579
8592748.501,543737.499,5.551
8592737.521,543732.199,5.368
8592726.61,543726.838,5.175
8592715.689,543721.349,5.115
8592704.657,543715.735,4.959
8592693.811,543710.129,4.887
8592682.997,543704.352,4.848
8592672.298,543698.512,4.725
8592661.677,543692.675,4.766
8592650.583,543686.712,4.534
8592639.588,543681.016,4.386
8592628.609,543675.534,4.24
8592617.694,543670.202,4.412
8592606.597,543664.786,4.538
8592595.649,543659.326,4.442
8592584.66,543653.764,4.214
8592573.993,543648.379,4.068
8592563.092,543642.796,3.937
8592552.159,543637.278,3.848
8592541.152,543631.77,3.938
8592530.193,543626.372,3.951
8592519.359,543621.166,3.523
8592508.392,543615.723,3.097
8592497.521,543610.149,3.032
8592486.838,543604.469,3.177
8592476.107,543598.745,3.242
8592465.338,543593.014,3.289
8592454.23,543587.182,3.273
8592443.633,543581.638,3.395
8592432.791,543576.063,3.558
8592421.715,543570.427,3.871
8592410.699,543564.991,4.26
8592399.478,543559.868,3.937
8592388.51,543554.888,3.435
8592377.342,543549.877,3.223
8592366.196,543545.079,3.504
8592361.101,543542.996,3.594
8592349.689,543539.253,3.566
8592337.841,543536.276,3.312
8592326.074,543533.521,3.206
8592314.33,543530.988,3.457
8592302.259,543528.4,3.805
8592290.201,543525.871,3.785
8592278.182,543523.371,3.685
8592265.887,543520.819,3.358
8592254.073,543518.362,3.008
8592241.885,543515.894,2.532
8592229.76,543513.47,2.204
8592218.548,543511.207,2.079
8592206.312,543508.816,1.99
8592196.498,543506.955,1.835
8592185.395,543504.855,1.761
8592174.366,543502.678,1.934
8592162.429,543500.386,1.921
8592151.024,543498.162,1.747
8592139.482,543495.807,1.645
8592127.58,543493.294,1.966
8592115.959,543490.7,2.424
8592112.579,543489.946,2.553
8592110.429,543489.31,3.951
8592110.079,543489.185,4.359
8592107.546,543488.486,5.345
8592106.503,543488.238,5.386
8592103.759,543487.76,4.153
8592103.378,543487.715,3.799
8592100.666,543487.245,3.009
8592087.689,543484.582,2.901
8592074.159,543482.087,2.585
8592060.658,543479.461,2.405
8592047.057,543476.973,2.018
8592033.531,543474.585,0.886
8592019.986,543472.293,-0.384
8592006.422,543469.921,-1.447
8591992.896,543467.673,-1.782
8591979.349,543465.39,-1.895
8591965.816,543463.107,-2.59
8591952.347,543460.641,-2.897
8591938.941,543457.949,-1.997
8591925.605,543455.122,-0.404
8591912.265,543452.33,1.345
8591898.873,543449.529,2.617
8591885.439,543446.692,3.342
8591872.041,543443.911,3.213
8591866.729,543442.853,2.985
8591865.75,543442.648,2.979
8591864.274,543442.323,3.773
8591862.474,543441.961,4.209
8591861.484,543441.761,4.181
8591860.285,543441.519,4.156
8591859.316,543441.312,4.097
8591857.786,543441.028,3.09
8591857.145,543440.917,2.423
8591855.556,543440.608,1.93
8591854.577,543440.416,1.901
8591843.368,543437.56,1.966
8591832.121,543433.432,2.238
8591821.225,543428.041,2.462
8591811.079,543421.583,2.583
8591801.568,543414.306,2.792
8591792.644,543406.239,2.903
8591784.457,543397.188,3.09
8591777.402,543387.276,3.206
8591771.355,543376.53,3.27
8591766.735,543365.306,3.206
8591763.417,543353.581,2.947
8591761.117,543341.485,2.784
8591760.243,543329.247,2.671
8591760.444,543316.993,2.554
8591761.629,543304.836,2.353
8591763.441,543292.95,2.284
8591765.389,543282.056,2.317
8591765.67,543280.432,3.31
8591766.01,543278.336,5.382
8591766.254,543276.896,5.722
8591766.535,543275.308,5.706
8591766.588,543275.019,5.704
8591767.405,543270.61,5.65
8591767.641,543269.221,4.855
8591767.942,543267.42,4.413
8591768.337,543265.106,4.411
8591769.313,543259.014,4.398
8591770.118,543254.06,4.451
8591772.02,543242.226,4.474
8591773.991,543230.274,4.496
8591776.029,543218.329,4.515
8591778.106,543205.995,4.514
8591780.113,543193.946,4.499
8591782.199,543181.806,4.526
8591784.208,543169.817,4.566
8591786.248,543157.707,4.567
8591787.906,543147.699,4.376
8591789.998,543135.374,4.128
8591790.325,543133.439,4.108
8591792.381,543121.32,4.125
8591794.423,543109.429,4.064
8591796.508,543097.474,3.956
8591798.574,543085.522,3.837
8591800.65,543073.336,3.782
8591802.672,543061.367,3.677
8591804.744,543049.282,3.532
8591806.837,543037.13,3.497
8591808.877,543025.079,3.498
8591810.883,543013.172,3.472
8591812.907,543000.997,3.48
8591814.996,542988.654,3.486
8591816.659,542978.611,3.476
8591818.714,542966.432,3.455
8591820.731,542954.398,3.391
8591822.762,542942.328,3.412
8591824.806,542930.11,3.576
8591826.857,542917.989,3.838
8591828.935,542905.944,4.19
8591830.959,542893.921,4.5
8591832.957,542881.936,4.754
8591834.986,542869.872,4.982
8591836.303,542861.896,5.105
