SIRGAS - Northing,SIRGAS - Easting,SIRGAS - Altura
8595267.481,545086.25,13.6833
8595258.52,545086.62,13.0614
8595250.127,545087.091,11.9597
8595239.128,545088.573,11.5428
8595233.191,545089.935,11.4393
8595230.686,545090.504,11.4359
8595218.918,545093.145,11.4701
8595217.179,545093.422,11.4101
8595213.381,545091.519,10.1345
8595212.626,545091.089,9.8571
8595211.809,545090.624,9.5577
8595210.413,545089.713,9.0739
8595210.222,545089.479,9.0286
8595207.169,545080.902,9.1767
8595203.255,545069.373,9.387
8595202.778,545067.95,9.4032
8595198.542,545056.903,10.282
8595193.952,545045.674,9.8726
8595190.908,545035.836,10.0202
8595189.797,545032.306,10.0926
8595189.706,545032.018,10.099
8595187.197,545024.238,10.3152
8595184.309,545014.38,9.9618
8595178.703,545003.727,8.8123
8595169.155,544996.379,8.1458
8595161.092,544992.891,7.8411
8595149.718,544988.552,7.5518
8595138.895,544983.324,7.4321
8595134.024,544980.261,7.3156
8595123.784,544973.788,7.0849
8595113.557,544967.235,6.8532
8595103.443,544960.714,6.5455
8595093.357,544954.199,6.3746
8595083.108,544947.615,6.3556
8595072.881,544941.085,6.3176
8595062.485,544934.474,6.2524
8595052.135,544927.995,6.1751
8595042.005,544921.673,6.0513
8595031.623,544915.18,5.9634
8595021.529,544908.846,5.8752
8595010.836,544902.036,5.7055
8595000.386,544895.431,5.6083
8594989.808,544888.635,5.6971
8594980.116,544882.215,6.066
8594969.849,544875.47,6.3866
8594959.738,544868.784,6.4854
8594949.729,544862.236,6.4774
8594942.231,544857.288,6.3966
8594933.104,544851.152,6.3032
8594923.173,544844.476,6.3251
8594912.813,544837.821,6.3427
8594902.743,544831.453,6.3554
8594892.484,544824.959,6.3282
8594882.245,544818.327,6.4926
8594876.585,544814.717,6.5763
8594866.353,544808.38,6.6228
8594855.871,544801.765,6.9792
8594845.824,544795.243,7.6053
8594835.724,544788.579,7.9973
8594825.78,544782.062,8.1974
8594815.656,544775.53,8.4707
8594805.447,544768.88,8.7047
8594795.122,544762.103,8.3997
8594785.002,544755.468,7.9412
8594774.808,544748.802,7.4898
8594764.504,544742.18,7.2552
8594753.928,544735.379,7.1027
8594743.469,544728.651,6.9321
8594733.091,544721.989,6.8087
8594722.566,544715.216,6.74
8594712.089,544708.499,6.7845
8594701.938,544701.944,6.8193
8594691.825,544695.354,6.7691
8594681.745,544688.776,6.5951
8594671.231,544681.853,6.43
8594661.077,544675.195,6.3749
8594650.991,544668.57,6.4224
8594640.901,544661.917,6.59
8594630.83,544655.235,6.4425
8594621.119,544648.885,6.4998
8594610.885,544642.436,6.8361
8594596.143,544633.328,7.2501
8594595.295,544632.809,7.2667
8594594.252,544632.181,7.2997
8594593.392,544631.663,7.3277
8594589.073,544629.069,7.4911
8594577.4,544621.944,7.6308
8594567.615,544615.644,7.4425
8594556.145,544608.228,7.1136
8594544.486,544601.145,6.3755
8594532.828,544594.165,5.0847
8594521.161,544587.233,3.8156
8594510.552,544580.69,3.2021
8594499.052,544573.292,3.3211
8594487.666,544565.756,4.2331
8594476.407,544558.066,5.456
8594465.873,544550.667,6.9001
8594454.688,544542.839,7.4034
8594443.414,544535.118,7.2676
8594432.135,544527.422,7.3044
8594420.743,544519.893,7.2585
8594409.228,544512.533,7.3335
8594387.41,544499.209,7.1692
8594386.555,544498.699,7.1404
8594385.503,544498.07,7.0996
8594384.653,544497.568,7.0656
8594376.959,544493.167,6.8078
8594366.055,544486.854,6.8057
8594355.672,544480.266,7.1934
8594345.867,544473.789,7.604
8594335.805,544467.07,7.8936
8594325.385,544460.161,7.8939
